"id","name","longitude","latitude","weigth"
"3365","3 St & 7 Ave","-73.9784","40.6704","1139"
"3077","Stagg St & Union Ave","-73.951","40.7088","1138"
"248","Laight St & Hudson St","-74.0077","40.7219","1132"
"3284","E 88 St & Park Ave","-73.956","40.7814","1132"
"3414","Bergen St & Flatbush Ave","-73.9757","40.6809","1122"
"3308","Kane St & Clinton St","-73.9965","40.6862","1121"
"3182","Yankee Ferry Terminal","-74.017","40.6869","1120"
"3453","Devoe St & Lorimer St","-73.9491","40.7134","1119"
"407","Henry St & Poplar St","-73.9915","40.7005","1119"
"3177","W 84 St & Broadway","-73.9771","40.7868","1112"
"3231","E 67 St & Park Ave","-73.9659","40.7678","1111"
"3294","E 91 St & Park Ave","-73.9553","40.7835","1101"
"3289","W 90 St & Amsterdam Ave","-73.9729","40.7902","1099"
"3100","Nassau Ave & Newell St","-73.9475","40.7248","1096"
"3434","W 88 St & West End Ave","-73.9772","40.7903","1090"
"3131","E 68 St & 3 Ave","-73.9622","40.7671","1088"
"3102","Driggs Ave & Lorimer St","-73.9504","40.7218","1085"
"243","Fulton St & Rockwell Pl","-73.9794","40.6882","1073"
"3357","W 106 St & Amsterdam Ave","-73.9664","40.8008","1058"
"3118","McGuinness Blvd & Eagle St","-73.9528","40.7355","1056"
"3111","Norman Ave & Leonard St - 2","-73.9506","40.7258","1054"
"3373","3 St & 3 Ave","-73.9878","40.6751","1052"
"3312","1 Ave & E 94 St","-73.9459","40.7817","1051"
"364","Lafayette Ave & Classon Ave","-73.9602","40.689","1050"
"3170","W 84 St & Columbus Ave","-73.9728","40.785","1040"
"3361","Carroll St & 6 Ave","-73.9787","40.6741","1036"
"3126","44 Dr & Jackson Ave","-73.9433","40.7472","1025"
"3335","Union St & 4 Ave","-73.9828","40.6773","1022"
"339","Avenue D & E 12 St","-73.9742","40.7258","1021"
"3254","Soissons Landing","-74.0149","40.6923","1013"
"3083","Bushwick Ave & Powers St","-73.941","40.7125","1006"
"354","Emerson Pl & Myrtle Ave","-73.9622","40.6936","1001"
"3311","Columbia St & Kane St","-74.0016","40.6876","997"
"3445","Riverside Dr & W 89 St","-73.9786","40.7918","996"
"3125","45 Rd & 11 St","-73.9498","40.7471","993"
"3422","Columbia St & Degraw St","-74.0024","40.6859","993"
"3370","E 78 St & 2 Ave","-73.9558","40.7728","991"
"418","Front St & Gold St","-73.9826","40.7022","991"
"3341","Central Park West & W 102 St","-73.9619","40.7953","978"
"3417","Baltic St & 5 Ave","-73.9785","40.6796","977"
"3364","Carroll St & 5 Ave","-73.9815","40.6752","969"
"262","Washington Park","-73.9737","40.6918","963"
"2022","E 60 St & York Ave","-73.9592","40.7591","959"
"216","Columbia Heights & Cranberry St","-73.9955","40.7004","958"
"3430","Richardson St & N Henry St","-73.9422","40.7191","953"
"3321","Clinton St & Union St","-73.9979","40.6831","952"
"3328","W 100 St & Manhattan Ave","-73.9645","40.795","949"
"225","W 14 St & The High Line","-74.008","40.742","943"
"3419","Douglass St & 4 Ave","-73.9815","40.6793","936"
"3389","Carroll St & Columbia St","-74.0035","40.683","933"
"3157","East End Ave & E 86 St","-73.9445","40.7752","932"
"365","Fulton St & Grand Ave","-73.9615","40.6822","921"
