"id","name","longitude","latitude","arrival_trips","departure_trips","difference"
"268","Howard St & Centre St","-73.9997","40.7191","3816","3820","-4"
"3066","Tompkins Ave & Hopkins St","-73.9471","40.6996","451","455","-4"
"3379","E 103 St & Lexington Ave","-73.9476","40.7903","694","699","-5"
"3418","Plaza St West & Flatbush Ave","-73.9711","40.675","2089","2094","-5"
"376","John St & William St","-74.0072","40.7086","2037","2042","-5"
"3113","Greenpoint Ave & Manhattan Ave","-73.9539","40.7303","1739","1744","-5"
"3235","E 41 St & Madison Ave","-73.9799","40.7522","2284","2289","-5"
"3243","E 58 St & 1 Ave","-73.9623","40.7589","1706","1711","-5"
"3438","E 76 St & 3 Ave","-73.9584","40.7722","1206","1211","-5"
"317","E 6 St & Avenue B","-73.9819","40.7245","3697","3702","-5"
"3462","E 44 St & 2 Ave","-73.9714","40.7512","2004","2009","-5"
